,Role,Datetime_Posted
787,Room Attendant,5 days ago
788,Nanny /Housekeeper London (live-out),5 days ago
794,Room Attendant,5 days ago
795,Late Housekeeping / Public Area Cleaner,5 days ago
798,Hospital Domestic Cleaner,5 days ago
799,Cleaning Supervisor - Chasefarm Hospital,5 days ago
801,Cleaning Staff Required for Cricket Event,5 days ago
802,Evening Room Attendant,5 days ago
804,General Cleaning & Waste Assistant,5 days ago
805,Cleaning Rapid Response - UCLH Hospital,5 days ago
806,Cleaner and Housekeeper,5 days ago
808,Housekeeper with Accomodation - RELOCATION REQUIRED,1 month ago
809,Room Attendant,19 days ago
810,Assistant Style/Housekeeping Manager,5 days ago
811,Housekeeping Stewards,5 days ago
812,Cleaning Supervisor,5 days ago
818,Senior Housekeeper,5 days ago
819,Room Attendant,5 days ago
822,Housekeeping Supervisor,5 days ago
823,Housekeeper,5 days ago
825,Linen Porter,5 days ago
826,Toilet Attendant - Floor,5 days ago
828,Room Attendant (Self-Checking),5 days ago
829,Night Hospital Porter,5 days ago
830,Cleaners and Caretakers - Immediate Start,5 days ago
834,Temporary Cleaner,6 days ago
835,Casual Housekeeping Attendant,6 days ago
836,Event Cleaning & Catering Staff required,6 days ago
842,Housekeeping Floor Supervisor,6 days ago
843,"Mobile Car Washer, Cleaner & Valeter at Dropless",6 days ago
846,Housekeeping Room Attendant,6 days ago
847,Cleaning Attendant,6 days ago
849,Room Attendant,6 days ago
850,Housekeeping Porter,6 days ago
852,Housekeeper,6 days ago
853,Room Attendant,6 days ago
854,Cleaner,6 days ago
858,Room Attendant,6 days ago
859,Cleaner Night,6 days ago
860,Nursery Housekeeper,6 days ago
866,Cleaner,7 days ago
867,Aircraft Cleaners,7 days ago
868,Domestic Cleaner,22 days ago
870,Housekeeping Floor Supervisor,7 days ago
871,Housekeeping Supervisor,7 days ago
873,Live-in Housekeeper w/ South Asian Cooking duties,7 days ago
874,Part Time Room Attendant - Soho House White City,7 days ago
876,Night Housekeeper,7 days ago
877,Night Housekeeping Porter,7 days ago
878,Cleaner Required,7 days ago
882,Assistant Head Housekeeper - Sea Containers London - Housekeeping,7 days ago
883,Cleaner - Permanent - E14,7 days ago
884,Cleaner,7 days ago
890,Estate Cleaner,7 days ago
891,Cleaner - Part-time,7 days ago
894,Domestic Cleaner,8 days ago
895,Commercial Cleaners,8 days ago
897,Domestic Assistants (Cleaning Assistants),8 days ago
898,Cleaner,8 days ago
900,Housekeeping Team Member - Immediate Start,8 days ago
901,Casual Room Attendant,8 days ago
902,Housekeeping Attendant,8 days ago
